File Count,Concurrency,Execution Time (s),Files Per Second,CPU Usage Before (%),CPU Usage After (%),Memory Before (MB),Memory After (MB),Total Read Time (ms),Total Write Time (ms),Disk Read (KB),Disk Write (KB),Read Ops,Write Ops,CPU Work Time (s)
1000,1,4.2,238.33,7.7,3.7,12.47,22.49,66.78,48.53,1000,1000,1000,1000,3.96
1000,5,4.54,220.24,10.0,3.6,22.49,23.5,5501.41,5933.56,1000,1000,1000,1000,4.06
1000,10,4.55,219.63,10.0,3.8,23.5,22.39,8788.33,7605.95,1000,1000,1000,1000,4.36
1000,15,4.54,220.14,0.0,3.7,22.39,21.94,9132.15,6951.74,1000,1000,1000,1000,4.35
1000,20,4.6,217.36,10.0,3.9,21.94,21.92,8767.34,7168.28,1000,1000,1000,1000,4.54
750,1,3.41,220.24,9.1,3.4,21.92,23.38,49.37,180.58,750,750,750,750,2.95
750,5,3.44,218.12,10.0,3.6,23.38,22.93,4931.0,4621.94,750,750,750,750,3.08
750,10,3.3,227.22,0.0,3.8,22.93,24.17,8964.59,10130.08,750,750,750,750,3.33
750,15,4.46,168.04,9.1,2.8,24.17,24.53,8581.64,37115.81,750,750,750,750,3.25
750,20,4.15,180.72,0.0,3.1,24.53,25.29,12430.45,51704.89,750,750,750,750,3.43
500,1,2.22,225.66,0.0,3.5,25.29,25.01,15.02,194.99,500,500,500,500,1.94
500,5,2.28,218.89,0.0,3.7,25.01,23.68,3275.86,2416.41,500,500,500,500,2.13
500,10,2.22,225.36,9.1,3.7,23.68,23.67,4094.97,4520.47,500,500,500,500,2.08
500,15,2.25,222.2,0.0,3.8,23.67,23.22,4807.14,4294.23,500,500,500,500,2.12
500,20,2.3,217.54,0.0,3.9,23.22,22.33,4654.03,4204.39,500,500,500,500,2.16
250,1,1.1,227.63,0.0,3.6,22.33,23.17,10.42,57.13,250,250,250,250,1.0
250,5,1.18,211.93,0.0,3.5,23.17,23.6,1517.49,1835.38,250,250,250,250,1.02
250,10,1.13,221.35,7.7,3.7,23.6,23.59,1884.64,1313.33,250,250,250,250,1.06
250,15,1.12,222.67,0.0,3.9,23.59,23.59,1959.19,1374.23,250,250,250,250,1.07
250,20,1.11,225.68,0.0,3.7,23.59,23.36,2501.96,2671.18,250,250,250,250,1.04
